"date","steps"
"2025-12-18",8272
"2025-12-17",8139
"2025-12-16",5645
"2025-12-15",18212
"2025-12-14",12113
"2025-12-13",4404
"2025-12-12",13326
"2025-12-11",4654
"2025-12-10",8426
"2025-12-09",4310
"2025-12-08",13796
"2025-12-07",9616
"2025-12-06",9729
"2025-12-05",7355
"2025-12-04",3314
"2025-12-03",5671
"2025-12-02",7900
"2025-12-01",15026
"2025-11-30",6166
"2025-11-29",9586
"2025-11-28",11175
"2025-11-27",9144
"2025-11-26",5168
"2025-11-25",15628
"2025-11-24",15551
"2025-11-23",9448
"2025-11-22",5649
"2025-11-21",11071
"2025-11-20",9729
"2025-11-19",13882
"2025-11-18",7778
"2025-11-17",8702
"2025-11-16",7786
"2025-11-15",9566
"2025-11-14",9084
"2025-11-13",8307
"2025-11-12",11122
"2025-11-11",4063
"2025-11-10",13251
"2025-11-09",6998
"2025-11-08",10174
"2025-11-07",9014
"2025-11-06",10419
"2025-11-05",9061
"2025-11-04",7147
"2025-11-03",1814
"2025-11-02",5836
"2025-11-01",10612
"2025-10-31",3603
"2025-10-30",9087
"2025-10-29",8316
"2025-10-28",7497
"2025-10-27",10369
"2025-10-26",6812
"2025-10-25",5962
"2025-10-24",2775
"2025-10-23",7522
"2025-10-22",6749
"2025-10-21",2936
"2025-10-20",10939
"2025-10-19",6580
"2025-10-18",8719
"2025-10-17",5500
"2025-10-16",10152
"2025-10-15",12363
"2025-10-14",12464
"2025-10-13",7106
"2025-10-12",4760
"2025-10-11",11278
"2025-10-10",9596
"2025-10-09",5945
"2025-10-08",2368
"2025-10-07",2403
"2025-10-06",7889
"2025-10-05",8510
"2025-10-04",11437
"2025-10-03",9487
"2025-10-02",5363
"2025-10-01",6511
"2025-09-30",8423
"2025-09-29",5270
"2025-09-28",9522
"2025-09-27",12811
"2025-09-26",5941
"2025-09-25",12521
"2025-09-24",5371
"2025-09-23",10356
"2025-09-22",9035
"2025-09-21",8871
"2025-09-20",7681
"2025-09-19",10828
"2025-09-18",6002
"2025-09-17",3434
"2025-09-16",10068
"2025-09-15",13052
"2025-09-14",8290
"2025-09-13",9152
"2025-09-12",14910
"2025-09-11",12657
"2025-09-10",16085
"2025-09-09",8567
"2025-09-08",5517
"2025-09-07",5052
"2025-09-06",9954
"2025-09-05",6957
"2025-09-04",4076
"2025-09-03",7040
"2025-09-02",2478
"2025-09-01",9338
"2025-08-31",11929
"2025-08-30",7850
"2025-08-29",9798
"2025-08-28",11028
"2025-08-27",3444
"2025-08-26",9519
"2025-08-25",5409
"2025-08-24",6695
"2025-08-23",8552
"2025-08-22",3958
