"date","steps","steps_7d_avg","next_date","gap_days","is_gap_anchor"
2016-01-05,6018,NA,2016-01-06,1,FALSE
2016-01-06,8863,NA,2016-01-07,1,FALSE
2016-01-07,5857,NA,2016-01-08,1,FALSE
2016-01-08,5866,7390.42857142857,2016-01-09,1,FALSE
2016-01-09,1289,7445.57142857143,2016-01-10,1,FALSE
2016-01-10,16655,7116,2016-01-11,1,FALSE
2016-01-11,7185,7166.85714285714,2016-01-12,1,FALSE
2016-01-12,6404,7368.28571428571,2016-01-13,1,FALSE
2016-01-13,6556,9838.85714285714,2016-01-14,1,FALSE
2016-01-14,6213,7829.28571428571,2016-01-15,1,FALSE
2016-01-15,7276,7818.42857142857,2016-01-16,1,FALSE
2016-01-16,18583,7910.28571428571,2016-01-17,1,FALSE
2016-01-17,2588,7920.85714285714,2016-01-18,1,FALSE
2016-01-18,7109,7724.42857142857,2016-01-19,1,FALSE
2016-01-19,7047,8421.42857142857,2016-01-20,1,FALSE
2016-01-20,6630,6568,2016-01-21,1,FALSE
2016-01-21,4838,6816.14285714286,2016-01-22,1,FALSE
2016-01-22,12155,6864.14285714286,2016-01-23,1,FALSE
2016-01-23,5609,6789.57142857143,2016-01-24,1,FALSE
2016-01-24,4325,6806.28571428571,2016-01-25,1,FALSE
2016-01-25,7445,7029.71428571429,2016-01-26,1,FALSE
2016-01-26,6525,7188.14285714286,2016-01-27,1,FALSE
2016-01-27,6747,8389.71428571429,2016-01-28,1,FALSE
2016-01-28,6402,9188,2016-01-29,1,FALSE
2016-01-29,13264,9442.85714285714,2016-01-30,1,FALSE
2016-01-30,14020,10007,2016-01-31,1,FALSE
2016-01-31,9913,9940.71428571429,2016-02-01,1,FALSE
2016-02-01,9229,10247.5714285714,2016-02-02,1,FALSE
2016-02-02,10474,9375.42857142857,2016-02-03,1,FALSE
2016-02-03,6283,8680.14285714286,2016-02-04,1,FALSE
2016-02-04,8550,8265.85714285714,2016-02-05,1,FALSE
2016-02-05,7159,8707.42857142857,2016-02-06,1,FALSE
2016-02-06,9153,9049.42857142857,2016-02-07,1,FALSE
2016-02-07,7013,8856.57142857143,2016-02-08,1,FALSE
2016-02-08,12320,8676.85714285714,2016-02-09,1,FALSE
2016-02-09,12868,9679.85714285714,2016-02-10,1,FALSE
2016-02-10,4933,10228.5714285714,2016-02-11,1,FALSE
2016-02-11,7292,9889.28571428571,2016-02-12,1,FALSE
2016-02-12,14180,9234,2016-02-13,1,FALSE
2016-02-13,12994,8392.57142857143,2016-02-14,1,FALSE
2016-02-14,4638,9250.71428571428,2016-02-15,1,FALSE
2016-02-15,7733,8988.14285714286,2016-02-16,1,FALSE
2016-02-16,6978,8182.71428571428,2016-02-17,1,FALSE
2016-02-17,10940,7569.85714285714,2016-02-18,1,FALSE
2016-02-18,5454,7799,2016-02-19,1,FALSE
2016-02-19,8542,8709.42857142857,2016-02-20,1,FALSE
2016-02-20,8704,8679.28571428571,2016-02-21,1,FALSE
2016-02-21,6242,9147.85714285714,2016-02-22,1,FALSE
2016-02-22,14106,9377,2016-02-23,1,FALSE
2016-02-23,6767,8916.71428571428,2016-02-24,1,FALSE
2016-02-24,14220,8742.71428571428,2016-02-25,1,FALSE
2016-02-25,7058,8052,2016-02-26,1,FALSE
2016-02-26,5320,6923.28571428571,2016-02-27,1,FALSE
2016-02-27,7486,6932.85714285714,2016-02-28,1,FALSE
2016-02-28,1407,5930.57142857143,2016-02-29,1,FALSE
2016-02-29,6205,6476.57142857143,2016-03-01,1,FALSE
2016-03-01,6834,6772.42857142857,2016-03-02,1,FALSE
2016-03-02,7204,6403.85714285714,2016-03-03,1,FALSE
2016-03-03,10880,7757.28571428571,2016-03-04,1,FALSE
2016-03-04,7391,8209.28571428571,2016-03-05,1,FALSE
2016-03-05,4906,8015.42857142857,2016-03-06,1,FALSE
2016-03-06,10881,8583.85714285714,2016-03-07,1,FALSE
2016-03-07,9369,7756.71428571429,2016-03-08,1,FALSE
2016-03-08,5477,7838.57142857143,2016-03-09,1,FALSE
